Year	Month  Anamolyintemp   TotalErrvar
1991	1	0.257911	0.005017
1991	2	0.302717	0.004871
1991	3	0.237145	0.004592
1991	4	0.24374		0.00435
1991	5	0.121316	0.004262
1991	6	0.172334	0.005427
1991	7	0.165867	0.004208
1991	8	0.084063	0.003854
1991	9	0.166609	0.004205
1991	10	0.032405	0.004502
1991	11	0.025438	0.004834
1991	12	0.029364	0.005302
1992	1	-0.165185	0.004952
1992	2	-0.125537	0.004874
1992	3	0.033321	0.004622
1992	4	0.060171	0.004374
1992	5	0.01339		0.004323
1992	6	0.206931	0.004554
1992	7	0.065279	0.004145
1992	8	0.053772	0.003957
1992	9	-0.016982	0.004254
1992	10	0.046242	0.004564
1992	11	-0.089043	0.004916
1992	12	-0.012706	0.005355
1993	1	-0.095541	0.005
1993	2	0.007847	0.004991
1993	3	-0.002422	0.004668
1993	4	0.084442	0.004371
1993	5	0.189356	0.004416
1993	6	0.261493	0.004374
1993	7	0.148453	0.004228
1993	8	0.129889	0.00407
1993	9	0.111765	0.004391
1993	10	0.159157	0.004644
1993	11	0.268855	0.004953
1993	12	0.236472	0.005368
1994	1	0.232929	0.004991
1994	2	0.08864		0.005001
1994	3	0.106397	0.004708
1994	4	0.168014	0.004417
1994	5	0.193963	0.004477
1994	6	0.09786		0.004614
1994	7	0.023564	0.004327
1994	8	0.030031	0.004158
1994	9	-0.03599	0.004465
1994	10	0.13828		0.004671
1994	11	0.183369	0.004978
1994	12	0.05147		0.00537
1995	1	0.064546	0.00495
1995	2	0.130443	0.004866
1995	3	0.20136		0.004735
1995	4	0.151584	0.004455
1995	5	0.205919	0.004901
1995	6	0.36096		0.004831
1995	7	0.327676	0.005863
1995	8	0.333785	0.005667
1995	9	0.251745	0.005608
1995	10	0.257747	0.005463
1995	11	0.160845	0.005119
1995	12	0.255014	0.005944
1996	1	0.297831	0.006159
1996	2	0.272322	0.004912
1996	3	0.20676		0.005247
1996	4	0.08092	0.005371
1996	5	0.252984	0.006569
1996	6	0.160315	0.004914
1996	7	0.182687	0.005996
1996	8	0.137448	0.005557
1996	9	0.222324	0.005496
1996	10	0.049875	0.0048
1996	11	-0.060464	0.005094
1996	12	0.094599	0.006172
1997	1	0.224705	0.007258
1997	2	-0.058073	0.005275
1997	3	0.028649	0.00582
1997	4	0.00789		0.005483
1997	5	0.222531	0.006474
1997	6	0.389719	0.005054
1997	7	0.472484	0.006019
1997	8	0.421663	0.005616
1997	9	0.506851	0.005644
1997	10	0.537013	0.004911
1997	11	0.602147	0.005218
1997	12	0.536651	0.00626
1998	1	0.569684	0.007665
1998	2	0.749152	0.005277
1998	3	0.392075	0.005953
1998	4	0.670208	0.005914
1998	5	0.565454	0.006519
1998	6	0.510196	0.00489
1998	7	0.486757	0.006187
1998	8	0.417745	0.005921
1998	9	0.29835		0.006065
1998	10	0.289188	0.005187
1998	11	0.379556	0.005933
1998	12	0.373458	0.007826
1999	1	0.257273	0.009216
1999	2	0.297137	0.006375
1999	3	0.269431	0.006739
1999	4	0.225436	0.006289
1999	5	0.153956	0.006466
1999	6	0.106859	0.005017
1999	7	0.008738	0.006295
1999	8	-0.025013	0.006013
1999	9	0.071067	0.006437
1999	10	0.051732	0.005328
1999	11	0.144069	0.006075
1999	12	0.08487		0.007284
2000	1	0.132202	0.010751
2000	2	-0.120507	0.006697
2000	3	0.072207	0.006667
2000	4	0.319027	0.00622
2000	5	0.269906	0.007219
2000	6	0.050761	0.005151
