Year	Anomalyintemp
1988	0.1797575
1989	-0.034993667
1990	0.1687845
1991	0.153242417
1992	0.005804417
1993	0.1249805
1994	0.106543917
1995	0.225135333
1996	0.158133417
1997	0.3243525
1998	0.475151917
1999	0.137129583
2000	0.134408333
2001	0.3169125
2002	0.389063833
2003	0.440264333
2004	0.41653275
2005	0.44608375
2006	0.405578917
2007	0.337626917
2008	0.2509325
2009	0.508649083
2010	0.593459583
2011	0.283305
2012	0.353285667
2013	0.435618417
2014	0.57368675
2015	0.778798333
2016	0.78213725
2017	0.6690925
