year	Anomalyintemp
1880	-0.304566333
1881	-0.1890885
1882	-0.332050417
1883	-0.361608
1884	-0.366577333
1885	-0.294791167
1886	-0.4092505
1887	-0.416872167
1888	-0.155700917
1889	-0.264441167
1890	-0.569495167
1891	-0.343048167
1892	-0.560641167
1893	-0.619818083
1894	-0.655651167
1895	-0.384822667
1896	-0.205954583
1897	-0.189602083
1898	-0.431098167
1899	-0.376680333
1900	-0.14630375
1901	-0.220319
1902	-0.24618025
1903	-0.4358405
1904	-0.576463
1905	-0.418637417
1906	-0.41024625
1907	-0.505824417
1908	-0.5898635
1909	-0.599565583
1910	-0.636921667
1911	-0.58319175
1912	-0.441634
1913	-0.582710417
1914	-0.369924583
1915	-0.175123667
1916	-0.496508167
1917	-0.63675375
1918	-0.4225935
1919	-0.376348917
1920	-0.495156833
1921	-0.396822417
1922	-0.440604917
1923	-0.434557
1924	-0.397305917
1925	-0.351406167
1926	-0.159385417
1927	-0.250795
1928	-0.295448833
1929	-0.35908775
1930	-0.23092425
1931	-0.102405667
1932	-0.31342525
1933	-0.412616833
1934	-0.37134375
1935	-0.296801417
1936	-0.191103083
1937	-0.1216045
1938	-0.308313167
1939	-0.274056583
1940	0.026456583
1941	0.282796667
1942	0.046619333
1943	-0.130441667
1944	-0.00764975
1945	-0.047147917
1946	-0.084698417
1947	-0.172937917
1948	-0.3133505
1949	-0.31078425
1950	-0.380645833
1951	-0.09121875
1952	-0.114214083
1953	-0.08113275
1954	-0.255654417
1955	-0.34042525
1956	-0.36851925
1957	-0.09808525
1958	0.1041635
1959	-0.081737667
1960	-0.05354625
1961	-0.184003417
1962	-0.155972667
1963	-0.011861917
1964	-0.259929
1965	-0.2145895
1966	0.018847917
1967	-0.24087875
1968	-0.144067833
1969	0.18004525
1970	-0.088055583
1971	-0.397465167
1972	-0.130091333
1973	-0.1031515
1974	-0.34760775
1975	-0.408867417
1976	-0.285612167
1977	-0.056082167
1978	-0.055618583
1979	0.068905583
1980	0.127443417
1981	0.045113167
1982	0.0322095
1983	0.085028583
1984	-0.083663083
1985	-0.100828583
1986	-0.000915833
1987	0.358623583



